player_id,player_name,gender,batting_hand,batting_hand,bowling_type
44828,Faf du Plessis,m,right-hand bat,legbreak,legbreak
605566,Tom Andrews,m,left-hand bat,slow left-arm orthodox,slow left-arm orthodox
40618,Imran Tahir,m,right-hand bat,legbreak googly,legbreak googly
470501,Graham Clark,m,right-hand bat,legbreak,legbreak
311592,Mitchell Starc,m,left-hand bat,left-arm fast,left-arm fast
272450,Mitchell Marsh,m,right-hand bat,right-arm medium,right-arm medium
555853,Mark Steketee,m,right-hand bat,right-arm fast-medium,right-arm fast-medium
297433,Jonny Bairstow,m,right-hand bat,right-arm medium,right-arm medium
234675,Ravindra Jadeja,m,left-hand bat,slow left-arm orthodox,slow left-arm orthodox
8917,Moeen Ali,m,left-hand bat,right-arm offbreak,right-arm offbreak
502714,Mitchell Santner,m,left-hand bat,slow left-arm orthodox,slow left-arm orthodox
493773,Lockie Ferguson,m,right-hand bat,right-arm fast,right-arm fast
1125688,Mukesh Choudhary,m,left-hand bat,left-arm medium,left-arm medium
679567,Ben Dwarshuis,m,left-hand bat,left-arm fast-medium,left-arm fast-medium
321777,David Miller,m,left-hand bat,right-arm offbreak,right-arm offbreak
787073,Chris Green,m,right-hand bat,right-arm offbreak,right-arm offbreak
379140,Devon Conway,m,left-hand bat,right-arm medium,right-arm medium
381743,Daryl Mitchell,m,right-hand bat,right-arm medium,right-arm medium
227758,Imad Wasim,m,left-hand bat,slow left-arm orthodox,slow left-arm orthodox
959767,Rachin Ravindra,m,left-hand bat,slow left-arm orthodox,slow left-arm orthodox
1209126,Ashwani Kumar,m,left-hand bat,left-arm medium,left-arm medium
931581,Rishabh Pant,m,left-hand bat,,
1161038,Alishan Sharafu,m,right-hand bat,right-arm medium,right-arm medium
906783,Obed McCoy,m,left-hand bat,left-arm fast-medium,left-arm fast-medium
26421,Ravichandran Ashwin,m,right-hand bat,right-arm offbreak,right-arm offbreak
422108,KL Rahul,m,right-hand bat,,
625371,Hardik Pandya,m,right-hand bat,right-arm medium-fast,right-arm medium-fast
272477,Jason Behrendorff,m,right-hand bat,left-arm fast-medium,left-arm fast-medium
629063,Mehidy Hasan Miraz,m,right-hand bat,right-arm offbreak,right-arm offbreak
1356603,Hugh Weibgen,m,right-hand bat,right-arm offbreak,right-arm offbreak
990039,Shoriful Islam,m,left-hand bat,left-arm fast-medium,left-arm fast-medium
308251,David Willey,m,left-hand bat,left-arm fast-medium,left-arm fast-medium
995037,Mahidul Islam Ankon,m,right-hand bat,,
926629,Hasan Mahmud,m,right-hand bat,right-arm fast-medium,right-arm fast-medium
927619,Khaled Ahmed,m,right-hand bat,right-arm medium-fast,right-arm medium-fast
1276982,Musfik Hasan,m,right-hand bat,right-arm medium,right-arm medium
785323,Nathan McAndrew,m,right-hand bat,right-arm medium-fast,right-arm medium-fast
1099224,Will Smeed,m,right-hand bat,right-arm offbreak,right-arm offbreak
500268,Ashton Turner,m,right-hand bat,right-arm offbreak,right-arm offbreak
897549,Will Jacks,m,right-hand bat,right-arm offbreak,right-arm offbreak
550235,Tom Curran,m,right-hand bat,right-arm fast-medium,right-arm fast-medium
457280,Adam Rossington,m,right-hand bat,,
45705,Colin Ingram,m,left-hand bat,legbreak,legbreak
629080,Binura Fernando,m,right-hand bat,left-arm medium-fast,left-arm medium-fast
1149157,Chris Benjamin,m,right-hand bat,right-arm medium,right-arm medium
391485,Jason Holder,m,right-hand bat,right-arm medium-fast,right-arm medium-fast
446507,Suryakumar Yadav,m,right-hand bat,right-arm medium right-arm offbreak,right-arm medium right-arm offbreak
537119,Mohit Sharma,m,right-hand bat,right-arm medium,right-arm medium
447261,Deepak Chahar,m,right-hand bat,right-arm medium,right-arm medium
1151278,Yashasvi Jaiswal,m,left-hand bat,legbreak,legbreak
554691,Axar Patel,m,left-hand bat,slow left-arm orthodox,slow left-arm orthodox
430246,Yuzvendra Chahal,m,right-hand bat,legbreak googly,legbreak googly
1175488,Dhruv Jurel,m,right-hand bat,,
559235,Kuldeep Yadav,m,left-hand bat,left-arm wrist-spin,left-arm wrist-spin
1176959,Akash Deep,m,right-hand bat,right-arm fast-medium,right-arm fast-medium
438362,Sandeep Sharma,m,right-hand bat,right-arm medium,right-arm medium
642519,Shreyas Iyer,m,right-hand bat,right-arm offbreak legbreak googly,right-arm offbreak legbreak googly
1079434,Riyan Parag,m,right-hand bat,right-arm offbreak legbreak,right-arm offbreak legbreak
